State,county_name,lat,lng,Percent_Republican,Percent_Democrat,Difference,Never,Rarely,Sometimes,Frequently,Always,Never_Rarely,Frequently_Always,Majority,White,Black,UnemploymentRate,Med_Household_Income,LessHS,HSGrad,Bachelors,GradProfDegree
Pennsylvania,Perry County,40.3984,-77.2623,0.74,0.24,0.5,0.035,0.017,0.1,0.199,0.649,0.052000000000000005,0.8480000000000001,Republican,0.97,0.01,0.0215,63718,0.13,0.47,0.11,0.05
New York,Hamilton County,43.6611,-74.4974,0.64,0.34,0.3,0.042,0.024,0.053,0.229,0.653,0.066,0.882,Republican,0.97,0.01,0.0166,58675,0.23,0.27,0.09,0.08
Oklahoma,Washita County,35.2904,-98.9922,0.86,0.13,0.73,0.024,0.256,0.243,0.164,0.313,0.28,0.477,Republican,0.89,0.01,0.0294,53274,0.1,0.41,0.14,0.07
Texas,Madison County,30.9655,-95.9284,0.79,0.21,0.58,0.065,0.032,0.097,0.337,0.469,0.097,0.806,Republican,0.73,0.16,0.0148,52664,0.19,0.38,0.1,0.04
Ohio,Logan County,40.3885,-83.7658,0.77,0.22,0.55,0.136,0.117,0.314,0.248,0.186,0.253,0.434,Republican,0.95,0.02,0.0282,56754,0.07,0.48,0.11,0.05
Vermont,Windsor County,43.58,-72.5862,0.29,0.68,-0.39,0.061,0.055,0.03,0.227,0.627,0.11599999999999999,0.854,Democrat,0.96,0.01,0.0237,60987,0.07,0.29,0.21,0.17
Kentucky,Lincoln County,37.4554,-84.6608,0.78,0.21,0.57,0.172,0.054,0.093,0.172,0.509,0.22599999999999998,0.681,Republican,0.95,0.02,0.0304,42919,0.2,0.43,0.08,0.05
Kentucky,Trigg County,36.8064,-87.8734,0.74,0.24,0.5,0.066,0.053,0.131,0.152,0.597,0.119,0.749,Republican,0.9,0.07,0.0494,50536,0.12,0.33,0.11,0.06
Illinois,Hancock County,40.4037,-91.1647,0.74,0.25,0.49,0.147,0.154,0.125,0.163,0.411,0.301,0.574,Republican,0.97,0.01,0.0331,52561,0.07,0.37,0.14,0.07
Florida,Palm Beach County,26.6476,-80.4655,0.43,0.56,-0.13,0.03,0.02,0.05,0.116,0.784,0.05,0.9,Democrat,0.74,0.19,0.0351,63299,0.12,0.24,0.23,0.14
Hawaii,Maui County,20.8596,-156.5648,0.31,0.67,-0.35,0.034,0.016,0.025,0.122,0.803,0.05,0.925,Democrat,0.35,0.01,0.0266,80948,0.08,0.31,0.18,0.09
Georgia,Peach County,32.5688,-83.8269,0.52,0.47,0.05,0.027,0.074,0.172,0.16,0.567,0.10099999999999999,0.727,Republican,0.49,0.45,0.0515,46636,0.17,0.3,0.11,0.1
West Virginia,Jefferson County,39.3076,-77.8628,0.54,0.44,0.1,0.041,0.038,0.2,0.169,0.552,0.079,0.7210000000000001,Republican,0.87,0.06,0.0391,80430,0.1,0.31,0.19,0.13
Florida,Hardee County,27.4927,-81.81,0.72,0.27,0.45,0.114,0.041,0.179,0.186,0.48,0.155,0.6659999999999999,Republican,0.8,0.08,0.0303,38682,0.23,0.49,0.07,0.03
Virginia,Charles City County,37.3567,-77.0622,0.4,0.59,-0.19,0.017,0.02,0.103,0.177,0.683,0.037000000000000005,0.8600000000000001,Democrat,0.44,0.45,0.017,57198,0.2,0.38,0.1,0.05
West Virginia,Tucker County,39.1136,-79.565,0.74,0.24,0.5,0.108,0.087,0.048,0.292,0.465,0.195,0.757,Republican,0.97,0,0.0333,49118,0.12,0.47,0.12,0.08
Indiana,Lake County,41.4171,-87.3822,0.42,0.57,-0.15,0.043,0.057,0.088,0.219,0.592,0.1,0.8109999999999999,Democrat,0.62,0.24,0.0426,56128,0.11,0.35,0.15,0.08
West Virginia,Kanawha County,38.3366,-81.5281,0.56,0.42,0.15,0.145,0.039,0.064,0.147,0.605,0.184,0.752,Republican,0.88,0.07,0.0327,46639,0.11,0.37,0.15,0.11
Minnesota,Kanabec County,45.9452,-93.2934,0.68,0.3,0.38,0.223,0.148,0.137,0.146,0.346,0.371,0.492,Republican,0.96,0,0.0201,57163,0.1,0.39,0.09,0.05
Oklahoma,Jackson County,34.588,-99.4148,0.78,0.2,0.58,0.021,0.127,0.148,0.291,0.411,0.148,0.702,Republican,0.72,0.07,0.0293,49703,0.15,0.27,0.15,0.09
Wyoming,Big Horn County,44.5267,-107.9952,0.84,0.14,0.7,0.182,0.187,0.12,0.257,0.253,0.369,0.51,Republican,0.93,0,0.0439,52804,0.1,0.29,0.14,0.05
North Carolina,Gates County,36.4449,-76.7005,0.56,0.43,0.14,0.008,0.022,0.19,0.21,0.57,0.03,0.7799999999999999,Republican,0.63,0.33,0.0374,50750,0.11,0.38,0.08,0.06
Washington,Spokane County,47.6207,-117.404,0.5,0.46,0.04,0.033,0.057,0.08,0.151,0.679,0.09,0.8300000000000001,Republican,0.88,0.02,0.0343,56904,0.06,0.23,0.19,0.11
Georgia,Monroe County,33.0139,-83.9187,0.71,0.28,0.43,0.072,0.035,0.184,0.253,0.455,0.107,0.708,Republican,0.74,0.23,0.038,54754,0.14,0.33,0.15,0.12
West Virginia,Boone County,38.023,-81.7112,0.76,0.23,0.53,0.097,0.138,0.093,0.197,0.475,0.23500000000000001,0.6719999999999999,Republican,0.98,0.01,0.0426,40739,0.2,0.5,0.06,0.04
Tennessee,Unicoi County,36.1107,-82.4323,0.79,0.19,0.6,0.049,0.041,0.108,0.306,0.497,0.09,0.8029999999999999,Republican,0.96,0,0.0297,41890,0.15,0.39,0.1,0.05
North Carolina,Burke County,35.7496,-81.7048,0.7,0.29,0.4,0.091,0.056,0.124,0.189,0.54,0.147,0.7290000000000001,Republican,0.84,0.06,0.0416,44557,0.18,0.31,0.11,0.06
Georgia,Laurens County,32.4637,-82.9222,0.64,0.36,0.28,0.122,0.056,0.141,0.291,0.391,0.178,0.6819999999999999,Republican,0.59,0.37,0.0268,39120,0.14,0.43,0.09,0.07
Wisconsin,Kenosha County,42.5769,-88.0424,0.51,0.48,0.03,0.077,0.083,0.097,0.155,0.589,0.16,0.744,Republican,0.85,0.08,0.0427,63733,0.1,0.3,0.17,0.09
Minnesota,Marshall County,48.3581,-96.3685,0.73,0.25,0.47,0.078,0.152,0.221,0.234,0.315,0.22999999999999998,0.549,Republican,0.97,0,0.0145,60118,0.1,0.37,0.14,0.05
Georgia,Twiggs County,32.6672,-83.4271,0.53,0.46,0.07,0.04,0.077,0.188,0.148,0.547,0.11699999999999999,0.6950000000000001,Republican,0.56,0.43,0.0274,34879,0.26,0.38,0.06,0.06
Kansas,Kearny County,38.0003,-101.3199,0.8,0.18,0.62,0.155,0.098,0.172,0.229,0.346,0.253,0.575,Republican,0.95,0.03,0.0128,52599,0.24,0.32,0.08,0.07
Alabama,Fayette County,33.7212,-87.7389,0.83,0.16,0.67,0.138,0.048,0.151,0.233,0.429,0.186,0.662,Republican,0.85,0.12,0.0319,39856,0.17,0.41,0.09,0.03
Montana,Treasure County,46.2115,-107.2716,0.81,0.17,0.64,0.122,0.188,0.16,0.259,0.27,0.31,0.529,Republican,0.95,0,0,43047,0.1,0.32,0.21,0.04
Montana,Phillips County,48.2592,-107.9132,0.81,0.17,0.64,0.229,0.114,0.214,0.296,0.147,0.343,0.44299999999999995,Republican,0.84,0,0.0423,46212,0.09,0.39,0.12,0.05
Florida,Hendry County,26.5535,-81.1659,0.61,0.38,0.23,0.046,0.042,0.112,0.15,0.65,0.088,0.8,Republican,0.79,0.12,0.0456,40820,0.34,0.34,0.05,0.03
Tennessee,Jackson County,36.3592,-85.6732,0.77,0.21,0.56,0.138,0.128,0.249,0.093,0.392,0.266,0.485,Republican,0.96,0,0.0337,35207,0.22,0.45,0.08,0.03
Virginia,King William County,37.7066,-77.0886,0.68,0.3,0.38,0.012,0.072,0.201,0.169,0.546,0.08399999999999999,0.7150000000000001,Republican,0.79,0.16,0.0261,66987,0.08,0.34,0.15,0.06
Louisiana,St. Landry Parish,30.5988,-92.0059,0.56,0.42,0.14,0.064,0.105,0.117,0.199,0.515,0.16899999999999998,0.714,Republican,0.56,0.42,0.0309,36403,0.23,0.41,0.1,0.05
Iowa,Fayette County,42.8626,-91.8444,0.6,0.38,0.23,0.054,0.075,0.128,0.349,0.394,0.129,0.743,Republican,0.95,0.02,0.0192,51128,0.08,0.4,0.13,0.06
Oregon,Benton County,44.4918,-123.4293,0.28,0.68,-0.4,0.007,0.007,0.059,0.156,0.77,0.014,0.926,Democrat,0.85,0.01,0.0324,62077,0.04,0.13,0.29,0.25
Minnesota,Mower County,43.6714,-92.7525,0.52,0.46,0.06,0.071,0.107,0.113,0.262,0.448,0.178,0.71,Republican,0.87,0.04,0.0238,54295,0.12,0.32,0.15,0.07
Nebraska,Dodge County,41.5779,-96.654,0.65,0.33,0.32,0.14,0.036,0.136,0.374,0.314,0.17600000000000002,0.688,Republican,0.95,0.01,0.03,54085,0.11,0.35,0.12,0.07
Washington,Chelan County,47.8692,-120.619,0.53,0.45,0.08,0.062,0.048,0.029,0.297,0.564,0.11,0.861,Republican,0.8,0.01,0.0243,58795,0.17,0.26,0.16,0.1
Texas,Ellis County,32.3484,-96.7945,0.66,0.32,0.34,0.027,0.017,0.044,0.19,0.722,0.044,0.9119999999999999,Republican,0.82,0.1,0.0227,76871,0.14,0.28,0.17,0.08
